"","NGenes","Direction","PValue","FDR"
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",12,"Down",2.5020369324143e-10,2.51204508014396e-07
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST",7,"Down",3.39544736314564e-07,0.00013265182467906
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",110,"Down",4.98984614283225e-07,0.00013265182467906
"REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES",93,"Down",5.28493325414582e-07,0.00013265182467906
"REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT",5,"Down",3.86619240455734e-06,0.000724298179502034
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",75,"Down",4.7759938075238e-06,0.000724298179502034
"REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",5,"Down",5.57470309476391e-06,0.000724298179502034
"REACTOME_DNA_REPLICATION_PRE_INITIATION",96,"Down",6.28374054491699e-06,0.000724298179502034
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",118,"Down",6.49271276446046e-06,0.000724298179502034
"REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY",5,"Down",7.44951645749464e-06,0.000747931452332462
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",85,"Down",1.08117438652935e-05,0.000925322448037721
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",181,"Down",1.10596308530405e-05,0.000925322448037721
"REACTOME_MITOTIC_PROMETAPHASE",188,"Down",1.5831581794502e-05,0.00122268524012923
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",218,"Down",2.19728490615527e-05,0.00147220873519328
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",27,"Down",2.29019546852806e-05,0.00147220873519328
"REACTOME_DNA_REPLICATION",123,"Down",2.34614937879408e-05,0.00147220873519328
"REACTOME_REGULATION_OF_APC_C_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE",35,"Down",3.53686852504088e-05,0.0020888329406712
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX",81,"Down",4.0672159870081e-05,0.00223807854960692
"REACTOME_AURKA_ACTIVATION_BY_TPX2",69,"Down",4.23540761379796e-05,0.00223807854960692
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",31,"Down",5.29823699037981e-05,0.00265971496917066
"REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY",31,"Down",6.97755157419314e-05,0.00318470529520113
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",90,"Down",6.97843789785107e-05,0.00318470529520113
"REACTOME_PHOSPHORYLATION_OF_EMI1",6,"Down",8.50396651110806e-05,0.00371216625093586
"REACTOME_IFNG_SIGNALING_ACTIVATES_MAPKS",7,"Up",0.000116869493891273,0.0048890404944516
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",26,"Down",0.000200738149049277,0.00802945457741502
"REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING",23,"Up",0.00022129791833674,0.00802945457741502
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",50,"Up",0.000222941762423314,0.00802945457741502
"REACTOME_INTERFERON_GAMMA_SIGNALING",19,"Up",0.000223929012119144,0.00802945457741502
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",72,"Down",0.000251207938660893,0.00869699208329438
"REACTOME_PI_METABOLISM",75,"Up",0.000279273815208655,0.00901366841362209
"REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6",71,"Down",0.000286245095675774,0.00901366841362209
"REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND",15,"Up",0.000287288236290744,0.00901366841362209
"REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",69,"Down",0.000305697435398961,0.00930061288304719
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",24,"Down",0.000321439908880443,0.00949193142694014
"REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM",6,"Up",0.000352613073664622,0.0101149578845509
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",27,"Down",0.000375888063844654,0.0102213352724851
"REACTOME_PHOSPHORYLATION_OF_THE_APC_C",20,"Down",0.000376682674384411,0.0102213352724851
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK",52,"Up",0.00048711359467035,0.0128700539223429
"REACTOME_SNRNP_ASSEMBLY",48,"Down",0.000680578107411981,0.0173821327538333
"REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS",77,"Up",0.000692515249156703,0.0173821327538333
"REACTOME_HDL_ASSEMBLY",7,"Up",0.000815705910513838,0.0192839145379709
"REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION",22,"Down",0.000817286157494835,0.0192839145379709
"REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION",83,"Down",0.000825904706307517,0.0192839145379709
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES",34,"Down",0.000860281654468958,0.019630063206519
"REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS",17,"Up",0.000954185540262113,0.0212889396094036
"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS",97,"Down",0.000992612995145824,0.0216648575462262
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",60,"Down",0.00105636757096258,0.0224462640634049
"REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES",32,"Up",0.00109070118265167,0.0224462640634049
"REACTOME_DEATH_RECEPTOR_SIGNALING",140,"Up",0.0010954849991104,0.0224462640634049
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",11,"Up",0.00114859991662222,0.022955563076325
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2",5,"Down",0.0011976593721329,0.022955563076325
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",131,"Down",0.00124308870938669,0.022955563076325
"REACTOME_G1_S_TRANSITION",103,"Down",0.00124870242973908,0.022955563076325
"REACTOME_MITOTIC_G2_G2_M_PHASES",177,"Down",0.00124900231479341,0.022955563076325
