"","NGenes","Direction","PValue","FDR"
"WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY",89,"Down",3.68654820349326e-06,0.000615653549983374
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG",32,"Up",7.94959790267077e-06,0.000663791424873009
"WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT",18,"Up",0.000151956459567382,0.0078491184602538
"WP_AFLATOXIN_B1_METABOLISM",5,"Down",0.000234655042361633,0.0078491184602538
"WP_G1_TO_S_CELL_CYCLE_CONTROL",60,"Down",0.000235003546714186,0.0078491184602538
"WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY",44,"Up",0.00122195353892337,0.0321588454998857
"WP_P38_MAPK_SIGNALING_PATHWAY",33,"Up",0.00139173404450861,0.0321588454998857
"WP_ELONGATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS",14,"Down",0.00154054349700051,0.0321588454998857
"WP_TOLL_LIKE_RECEPTOR_SIGNALING",32,"Up",0.00197124951981354,0.0365776299787623
"WP_CHEMOKINE_SIGNALING_PATHWAY",174,"Up",0.00275492925847925,0.0460073186166035
"WP_MIR_193A_AND_MVP_IN_COLON_CANCER_METASTASIS",6,"Down",0.00348105564204553,0.0528487538383275
"WP_GLUTATHIONE_AND_ONE_CARBON_METABOLISM",31,"Down",0.00509275127171736,0.0615645167362094
"WP_EGFR1_SIGNALING_PATHWAY",174,"Up",0.005131110662859,0.0615645167362094
"WP_IL_3_SIGNALING_PATHWAY",99,"Up",0.00516109721141875,0.0615645167362094
"WP_HEME_BIOSYNTHESIS",9,"Down",0.00698127659264683,0.0777248793981347
"WP_KIT_RECEPTOR_SIGNALING_PATHWAY",67,"Up",0.00863681325322195,0.0849431885523136
"WP_MACROPHAGE_MARKERS",10,"Up",0.00864691140951695,0.0849431885523136
"WP_IL_6_SIGNALING_PATHWAY",99,"Up",0.00916392990621892,0.0850209052410311
"WP_IL_2_SIGNALING_PATHWAY",76,"Up",0.0125581242322248,0.109949920305181
"WP_REGULATION_OF_ACTIN_CYTOSKELETON",149,"Up",0.013167655126369,0.109949920305181
"WP_G_PROTEIN_SIGNALING_PATHWAYS",89,"Up",0.0201805989304992,0.160483810542542
"WP_FATTY_ACID_BIOSYNTHESIS",22,"Down",0.0231857228164473,0.176000714106668
"WP_P53_SIGNALING",65,"Down",0.0263394309461139,0.188109832748474
"WP_ERBB_SIGNALING_PATHWAY",46,"Up",0.0276592683408836,0.188109832748474
"WP_PROTEASOME_DEGRADATION",49,"Down",0.0291394560054094,0.188109832748474
