"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_FXR_PATHWAY",7,0.142857142857143,0.714285714285714,"Up",2e-04,0.0189,4e-04,0.0171818181818182
"BIOCARTA_THELPER_PATHWAY",12,0,0.333333333333333,"Up",2e-04,0.0189,0.0139,0.05817
"BIOCARTA_TCYTOTOXIC_PATHWAY",12,0,0.333333333333333,"Up",6e-04,0.0462,0.0064,0.0421105263157895
"BIOCARTA_IFNA_PATHWAY",9,0,0.555555555555556,"Up",8e-04,0.04725,0.0182,0.063875
"BIOCARTA_ION_PATHWAY",5,0,0.6,"Up",0.0013,0.063,5e-04,0.0171818181818182
"BIOCARTA_GABA_PATHWAY",10,0.1,0.5,"Up",0.0016,0.063,0.0383,0.0900841121495327
"BIOCARTA_RANMS_PATHWAY",9,0.666666666666667,0,"Down",0.0018,0.063,0.0018,0.0266
"BIOCARTA_CD40_PATHWAY",14,0.0714285714285714,0.285714285714286,"Up",0.0022,0.067725,0.0193,0.065688
"BIOCARTA_PLCD_PATHWAY",5,0,0.4,"Up",0.0026,0.0714,0.0039,0.0321096774193548
"BIOCARTA_PKC_PATHWAY",7,0,0.285714285714286,"Up",0.0038,0.0945,0.0981,0.147397633136095
"BIOCARTA_RANBP2_PATHWAY",12,0.416666666666667,0,"Down",0.0053,0.1053,2e-04,0.0171818181818182
"BIOCARTA_EFP_PATHWAY",13,0.461538461538462,0.153846153846154,"Down",0.0057,0.1053,8e-04,0.0171818181818182
"BIOCARTA_PML_PATHWAY",18,0.0555555555555556,0.388888888888889,"Up",0.0058,0.1053,0.0046,0.03276
"BIOCARTA_IL7_PATHWAY",16,0,0.25,"Up",0.0059,0.1053,0.0866,0.138839240506329
"BIOCARTA_CELLCYCLE_PATHWAY",23,0.347826086956522,0.217391304347826,"Down",0.0068,0.1134,9e-04,0.01785
"BIOCARTA_CTL_PATHWAY",13,0.0769230769230769,0.307692307692308,"Up",0.0074,0.1157625,0.0245,0.074233734939759
"BIOCARTA_EOSINOPHILS_PATHWAY",6,0,0.333333333333333,"Up",0.0094,0.1386,0.2074,0.247640758293839
"BIOCARTA_RAC1_PATHWAY",21,0.0952380952380952,0.380952380952381,"Up",0.0114,0.1589,0.0196,0.065688
"BIOCARTA_GCR_PATHWAY",16,0.0625,0.3125,"Up",0.0135,0.178389473684211,0.0238,0.074233734939759
"BIOCARTA_TERT_PATHWAY",7,0,0.285714285714286,"Up",0.0153,0.190453846153846,0.0257,0.0745862068965517
"BIOCARTA_MCALPAIN_PATHWAY",19,0.105263157894737,0.210526315789474,"Up",0.017,0.190453846153846,0.0044,0.03276
"BIOCARTA_IFNG_PATHWAY",6,0,0.666666666666667,"Up",0.0181,0.190453846153846,0.0183,0.063875
"BIOCARTA_BLYMPHOCYTE_PATHWAY",9,0,0.555555555555556,"Up",0.0181,0.190453846153846,0.009,0.0495957446808511
"BIOCARTA_P53_PATHWAY",15,0.4,0.2,"Down",0.019,0.190453846153846,8e-04,0.0171818181818182
"BIOCARTA_PAR1_PATHWAY",19,0,0.315789473684211,"Up",0.0194,0.190453846153846,0.0827,0.136952941176471
"BIOCARTA_IL2RB_PATHWAY",36,0.0555555555555556,0.361111111111111,"Up",0.0197,0.190453846153846,0.0303,0.07966875
"BIOCARTA_TFF_PATHWAY",25,0.08,0.32,"Up",0.0208,0.191290909090909,0.0573,0.108173333333333
"BIOCARTA_CCR3_PATHWAY",18,0,0.333333333333333,"Up",0.0228,0.191290909090909,0.1589,0.197236097560976
"BIOCARTA_CDC42RAC_PATHWAY",7,0,0.571428571428571,"Up",0.0229,0.191290909090909,0.1719,0.209208695652174
"BIOCARTA_CBL_PATHWAY",11,0.0909090909090909,0.363636363636364,"Up",0.0232,0.191290909090909,0.1072,0.151695505617978
"BIOCARTA_CARDIACEGF_PATHWAY",18,0.111111111111111,0.166666666666667,"Up",0.0241,0.191290909090909,0.0333,0.0833823529411765
"BIOCARTA_CACAM_PATHWAY",6,0,0.333333333333333,"Up",0.0248,0.191290909090909,0.0425,0.0945
"BIOCARTA_FMLP_PATHWAY",31,0.0967741935483871,0.354838709677419,"Up",0.0264,0.191290909090909,0.0465,0.0983647058823529
"BIOCARTA_TNFR2_PATHWAY",17,0.117647058823529,0.352941176470588,"Up",0.0265,0.191290909090909,0.0175,0.063875
"BIOCARTA_MELANOCYTE_PATHWAY",7,0,0.428571428571429,"Up",0.0275,0.191290909090909,0.1598,0.197236097560976
"BIOCARTA_NKT_PATHWAY",27,0.0740740740740741,0.259259259259259,"Up",0.0297,0.191290909090909,0.1016,0.149652631578947
"BIOCARTA_ECM_PATHWAY",21,0.0476190476190476,0.523809523809524,"Up",0.0305,0.191290909090909,0.0346,0.0845300970873786
"BIOCARTA_CTCF_PATHWAY",24,0,0.333333333333333,"Up",0.0318,0.191290909090909,0.0989,0.147397633136095
"BIOCARTA_STATHMIN_PATHWAY",19,0.263157894736842,0.157894736842105,"Down",0.0327,0.191290909090909,7e-04,0.0171818181818182
