"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"HALLMARK_SPERMATOGENESIS",134,0.194029850746269,0.0970149253731343,"Down",9e-04,0.0425,0.003,0.00614583333333333
"HALLMARK_ESTROGEN_RESPONSE_LATE",191,0.267015706806283,0.141361256544503,"Down",0.0033,0.080625,0.0011,0.0035
"HALLMARK_MYC_TARGETS_V2",58,0.362068965517241,0.0172413793103448,"Down",0.005,0.080625,0.0016,0.00407894736842105
"HALLMARK_INFLAMMATORY_RESPONSE",197,0.121827411167513,0.238578680203046,"Up",0.0065,0.080625,0.0023,0.005625
"HALLMARK_E2F_TARGETS",197,0.477157360406091,0.0558375634517767,"Down",0.0102,0.1015,9e-04,0.00339285714285714
"HALLMARK_IL6_JAK_STAT3_SIGNALING",85,0.141176470588235,0.364705882352941,"Up",0.0146,0.12125,0.0034,0.00644230769230769
"HALLMARK_G2M_CHECKPOINT",192,0.40625,0.0625,"Down",0.0193,0.1375,4e-04,0.00339285714285714
"HALLMARK_INTERFERON_GAMMA_RESPONSE",186,0.112903225806452,0.440860215053763,"Up",0.0253,0.144166666666667,0.0032,0.0063
"HALLMARK_ALLOGRAFT_REJECTION",189,0.121693121693122,0.222222222222222,"Up",0.026,0.144166666666667,0.0016,0.00407894736842105
"HALLMARK_UV_RESPONSE_DN",144,0.125,0.25,"Up",0.0353,0.17625,0.0045,0.00741666666666667
"HALLMARK_INTERFERON_ALPHA_RESPONSE",92,0.0978260869565217,0.5,"Up",0.0411,0.1835,0.0044,0.00741666666666667
"HALLMARK_APICAL_JUNCTION",197,0.116751269035533,0.218274111675127,"Up",0.0449,0.1835,0.0107,0.0123837209302326
"HALLMARK_HYPOXIA",197,0.157360406091371,0.248730964467005,"Up",0.0486,0.1835,5e-04,0.00339285714285714
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",108,0.305555555555556,0.138888888888889,"Down",0.0543,0.1835,7e-04,0.00339285714285714
"HALLMARK_ESTROGEN_RESPONSE_EARLY",194,0.221649484536082,0.154639175257732,"Down",0.0551,0.1835,0.0052,0.00795454545454546
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,0.0714285714285714,0.285714285714286,"Up",0.0839,0.26203125,0.001,0.00339285714285714
"HALLMARK_MYC_TARGETS_V1",192,0.411458333333333,0.0677083333333333,"Down",0.0893,0.2625,7e-04,0.00339285714285714
"HALLMARK_KRAS_SIGNALING_UP",198,0.131313131313131,0.237373737373737,"Up",0.102,0.283194444444444,2e-04,0.00339285714285714
"HALLMARK_ANGIOGENESIS",36,0.166666666666667,0.0555555555555556,"Down",0.1353,0.355921052631579,0.0259,0.0280978260869565
"HALLMARK_MTORC1_SIGNALING",195,0.323076923076923,0.169230769230769,"Down",0.163,0.400595238095238,5e-04,0.00339285714285714
"HALLMARK_HEDGEHOG_SIGNALING",36,0.305555555555556,0.166666666666667,"Down",0.1683,0.400595238095238,0.0027,0.00576086956521739
"HALLMARK_HEME_METABOLISM",186,0.155913978494624,0.311827956989247,"Up",0.1827,0.414021739130435,0.0093,0.0115625
"HALLMARK_COMPLEMENT",183,0.147540983606557,0.213114754098361,"Up",0.1905,0.414021739130435,0.0053,0.00795454545454546
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",193,0.170984455958549,0.248704663212435,"Up",0.271,0.5485,0.001,0.00339285714285714
