"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST",7,0.857142857142857,0,"Down",2e-04,0.07028,5e-04,0.0155793103448276
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4",26,0.0769230769230769,0.230769230769231,"Up",2e-04,0.07028,0.0497,0.0873005253940455
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",27,0.407407407407407,0.037037037037037,"Down",4e-04,0.07028,0.0066,0.0384573099415205
"REACTOME_NICOTINATE_METABOLISM",31,0.0645161290322581,0.354838709677419,"Up",4e-04,0.07028,0.0098,0.0446986301369863
"REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING",11,0.181818181818182,0.272727272727273,"Up",4e-04,0.07028,2e-04,0.01255
"REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY",5,0.8,0,"Down",6e-04,0.0888153846153846,6e-04,0.0167333333333333
"REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE",45,0.0888888888888889,0.222222222222222,"Up",7e-04,0.0888153846153846,0.1126,0.145560617760618
"REACTOME_HDL_ASSEMBLY",7,0,0.571428571428571,"Up",8e-04,0.0888153846153846,0.0036,0.0297016666666667
"REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R",45,0.0888888888888889,0.177777777777778,"Up",9e-04,0.0888153846153846,0.1223,0.154583123425693
"REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",5,0.8,0,"Down",0.0011,0.0888153846153846,0.0016,0.0213178082191781
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2",28,0.0357142857142857,0.25,"Up",0.0011,0.0888153846153846,0.0956,0.130085250338295
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",34,0,0.264705882352941,"Up",0.0012,0.0888153846153846,0.2064,0.232781348314607
"REACTOME_SYNTHESIS_OF_KETONE_BODIES",8,0.25,0,"Down",0.0012,0.0888153846153846,0.0853,0.119540502793296
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2",5,0.6,0,"Down",0.0014,0.0968142857142857,9e-04,0.0185521739130435
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3",24,0.0833333333333333,0.25,"Up",0.0015,0.0970533333333334,0.0689,0.103791891891892
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",12,0.75,0,"Down",0.0016,0.0972625,0.0016,0.0213178082191781
"REACTOME_AURKA_ACTIVATION_BY_TPX2",69,0.36231884057971,0.072463768115942,"Down",0.0019,0.103188888888889,5e-04,0.0155793103448276
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",14,0.0714285714285714,0.357142857142857,"Up",0.0019,0.103188888888889,8e-04,0.0175116279069767
"REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION",6,0,0.333333333333333,"Up",0.0021,0.108326315789474,1e-04,0.01255
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",27,0.481481481481481,0.111111111111111,"Down",0.0023,0.11295,0.0013,0.020241935483871
"REACTOME_INTERLEUKIN_36_PATHWAY",7,0,0.285714285714286,"Up",0.0026,0.121914285714286,0.0377,0.0776004073319756
"REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT",5,0.8,0,"Down",0.003,0.133139130434783,0.0034,0.0287470085470085
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY",48,0.0625,0.291666666666667,"Up",0.0031,0.133139130434783,0.0194,0.0568052631578947
"REACTOME_INTERLEUKIN_35_SIGNALLING",7,0,0.428571428571429,"Up",0.0036,0.139444444444444,0.0139,0.0513032967032967
"REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING",14,0.142857142857143,0.285714285714286,"Up",0.0036,0.139444444444444,0.0012,0.020241935483871
"REACTOME_FATTY_ACIDS_BOUND_TO_GPR40_FFAR1_REGULATE_INSULIN_SECRETION",8,0.125,0.25,"Up",0.0037,0.139444444444444,0.0477,0.0854563279857398
"REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS",11,0.272727272727273,0.181818181818182,"Down",0.0038,0.139444444444444,0.0025,0.0267369565217391
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",107,0.0654205607476635,0.261682242990654,"Up",0.0046,0.157946341463415,0.0411,0.0792580769230769
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",35,0.0571428571428571,0.171428571428571,"Up",0.0047,0.157946341463415,0.0605,0.0980481421647819
"REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM",6,0,0.666666666666667,"Up",0.0048,0.157946341463415,0.0052,0.0356593103448276
"REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS",77,0.0779220779220779,0.350649350649351,"Up",0.0052,0.157946341463415,0.0144,0.0516190812720848
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1",30,0.0333333333333333,0.233333333333333,"Up",0.0052,0.157946341463415,0.1305,0.163103113325031
"REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING",14,0.142857142857143,0.285714285714286,"Up",0.0056,0.157946341463415,0.0194,0.0568052631578947
"REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING",32,0.0625,0.375,"Up",0.0057,0.157946341463415,0.0129,0.0500054263565891
"REACTOME_NICOTINAMIDE_SALVAGING",19,0.0526315789473684,0.368421052631579,"Up",0.0058,0.157946341463415,0.0367,0.0766595833333333
"REACTOME_IRS_MEDIATED_SIGNALLING",39,0.102564102564103,0.205128205128205,"Up",0.0059,0.157946341463415,0.081,0.114955869872702
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",11,0.545454545454545,0.0909090909090909,"Down",0.0062,0.157946341463415,0.004,0.0317264
"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR",6,0,0.333333333333333,"Up",0.0062,0.157946341463415,0.0233,0.0617539682539683
"REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING",19,0.0526315789473684,0.421052631578947,"Up",0.0064,0.157946341463415,0.0393,0.0782324752475247
"REACTOME_REGULATION_OF_APC_C_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE",35,0.371428571428571,0.0285714285714286,"Down",0.0064,0.157946341463415,7e-04,0.0167333333333333
"REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS",7,0.285714285714286,0.142857142857143,"Down",0.0065,0.157946341463415,0.0789,0.113417478510029
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK",52,0.0576923076923077,0.346153846153846,"Up",0.0069,0.158586363636364,0.0121,0.0483928
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",11,0,0.545454545454545,"Up",0.007,0.158586363636364,0.0396,0.0783199211045365
"REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING",23,0,0.391304347826087,"Up",0.007,0.158586363636364,0.0302,0.0686408163265306
"REACTOME_PHOSPHORYLATION_OF_EMI1",6,0.666666666666667,0,"Down",0.0075,0.162104166666667,0.001,0.019076
