"","NGenes","Direction","PValue","FDR"
"BIOCARTA_RANMS_PATHWAY",9,"Down",1.09518597310986e-07,2.75986865223686e-05
"BIOCARTA_BIOPEPTIDES_PATHWAY",28,"Up",0.000308781787816764,0.0220340337951407
"BIOCARTA_RANBP2_PATHWAY",12,"Down",0.000332052728143699,0.0220340337951407
"BIOCARTA_ECM_PATHWAY",21,"Up",0.000349746568176836,0.0220340337951407
"BIOCARTA_RAS_PATHWAY",21,"Up",0.000537674900806463,0.0270988150006458
"BIOCARTA_IFNG_PATHWAY",6,"Up",0.000727463679510494,0.0305534745394407
"BIOCARTA_EFP_PATHWAY",13,"Down",0.0018052525500812,0.0649890918029233
"BIOCARTA_MAPK_PATHWAY",76,"Up",0.00224206809338223,0.0698880470559309
"BIOCARTA_MAL_PATHWAY",18,"Up",0.00249600168056896,0.0698880470559309
"BIOCARTA_IFNA_PATHWAY",9,"Up",0.00361196921963539,0.0885666456481609
"BIOCARTA_PML_PATHWAY",18,"Up",0.00389908615951386,0.0885666456481609
"BIOCARTA_P38MAPK_PATHWAY",32,"Up",0.00421745931657909,0.0885666456481609
"BIOCARTA_RARRXR_PATHWAY",6,"Up",0.00609704267330092,0.111494292255973
"BIOCARTA_KERATINOCYTE_PATHWAY",46,"Up",0.00646606185050995,0.111494292255973
"BIOCARTA_GH_PATHWAY",28,"Up",0.00686761045762246,0.111494292255973
"BIOCARTA_HCMV_PATHWAY",17,"Up",0.00707900268291894,0.111494292255973
"BIOCARTA_STAT3_PATHWAY",8,"Up",0.00835281879023826,0.123818255008238
"BIOCARTA_CELLCYCLE_PATHWAY",23,"Down",0.00995636140729953,0.132212427496984
"BIOCARTA_TERT_PATHWAY",7,"Up",0.00996839731128054,0.132212427496984
"BIOCARTA_FMLP_PATHWAY",31,"Up",0.0110917989145032,0.13365865639101
"BIOCARTA_FXR_PATHWAY",7,"Up",0.0112229403927654,0.13365865639101
"BIOCARTA_RHO_PATHWAY",20,"Up",0.0116686128595326,0.13365865639101
"BIOCARTA_HER2_PATHWAY",23,"Up",0.0134395431951935,0.136078960423686
"BIOCARTA_CCR3_PATHWAY",18,"Up",0.0139563223468829,0.136078960423686
"BIOCARTA_IL2RB_PATHWAY",36,"Up",0.0140415264333366,0.136078960423686
"BIOCARTA_IL22BP_PATHWAY",9,"Up",0.0141024779757005,0.136078960423686
"BIOCARTA_NTHI_PATHWAY",22,"Up",0.0145798886168235,0.136078960423686
"BIOCARTA_CREB_PATHWAY",20,"Up",0.0153293971326379,0.137964574193741
"BIOCARTA_HBX_PATHWAY",7,"Up",0.0162208666928103,0.140953738158214
"BIOCARTA_PYK2_PATHWAY",25,"Up",0.0177196002119529,0.148844641780405
"BIOCARTA_ERK5_PATHWAY",14,"Up",0.0193393662133404,0.157210331798767
"BIOCARTA_TPO_PATHWAY",25,"Up",0.0210999486771875,0.166162095832852
"BIOCARTA_ION_PATHWAY",5,"Up",0.0226209240972697,0.171522068645549
"BIOCARTA_CDMAC_PATHWAY",15,"Up",0.0231418664045583,0.171522068645549
"BIOCARTA_AT1R_PATHWAY",25,"Up",0.0273876277823095,0.191864554470353
"BIOCARTA_EIF4_PATHWAY",21,"Up",0.0281965113557629,0.191864554470353
"BIOCARTA_CTCF_PATHWAY",24,"Up",0.0284827979091287,0.191864554470353
"BIOCARTA_P53_PATHWAY",15,"Down",0.0289319566264817,0.191864554470353
"BIOCARTA_G2_PATHWAY",22,"Down",0.0309169167033356,0.199770846390784
"BIOCARTA_GLEEVEC_PATHWAY",23,"Up",0.0330865365479884,0.202688975103113
"BIOCARTA_PLCD_PATHWAY",5,"Up",0.0334780464594444,0.202688975103113
"BIOCARTA_BLYMPHOCYTE_PATHWAY",9,"Up",0.0337814958505188,0.202688975103113
"BIOCARTA_IL3_PATHWAY",15,"Up",0.0349501666816318,0.204824232645842
"BIOCARTA_TFF_PATHWAY",25,"Up",0.039098053441768,0.211976669888599
"BIOCARTA_THELPER_PATHWAY",12,"Up",0.0393269299832328,0.211976669888599
"BIOCARTA_CBL_PATHWAY",11,"Up",0.0401278403069306,0.211976669888599
"BIOCARTA_NFKB_PATHWAY",21,"Up",0.0401773693520171,0.211976669888599
"BIOCARTA_TCR_PATHWAY",41,"Up",0.0405307091798521,0.211976669888599
"BIOCARTA_RAC1_PATHWAY",21,"Up",0.0418858596307203,0.211976669888599
"BIOCARTA_CIRCADIAN_PATHWAY",6,"Up",0.0420588630731348,0.211976669888599
"BIOCARTA_EGF_PATHWAY",28,"Up",0.0460106744666838,0.227346862070673
"BIOCARTA_VITCB_PATHWAY",11,"Down",0.0487414827565756,0.228460115714617
"BIOCARTA_IL1R_PATHWAY",31,"Up",0.049528335773037,0.228460115714617
"BIOCARTA_RNA_PATHWAY",9,"Up",0.0502782249975269,0.228460115714617
"BIOCARTA_CDC42RAC_PATHWAY",7,"Up",0.0508786733026893,0.228460115714617
"BIOCARTA_TALL1_PATHWAY",13,"Up",0.0528149305333207,0.228460115714617
"BIOCARTA_INTEGRIN_PATHWAY",33,"Up",0.0532931863692711,0.228460115714617
"BIOCARTA_PDGF_PATHWAY",29,"Up",0.0533326958496657,0.228460115714617
"BIOCARTA_TCYTOTOXIC_PATHWAY",12,"Up",0.05356300241732,0.228460115714617
"BIOCARTA_PEPI_PATHWAY",5,"Down",0.054714789439352,0.228460115714617
"BIOCARTA_PTEN_PATHWAY",17,"Up",0.0556266948739547,0.228460115714617
"BIOCARTA_SPRY_PATHWAY",16,"Up",0.0562084411678819,0.228460115714617
"BIOCARTA_BCR_PATHWAY",31,"Up",0.0603753370173864,0.239436788713832
"BIOCARTA_CXCR4_PATHWAY",19,"Up",0.0608093431654175,0.239436788713832
"BIOCARTA_CD40_PATHWAY",14,"Up",0.0625224640503766,0.242394783702999
"BIOCARTA_ARENRF2_PATHWAY",18,"Down",0.0644400925240831,0.244614560896693
"BIOCARTA_IL7_PATHWAY",16,"Up",0.0680953842188667,0.244614560896693
"BIOCARTA_ERK_PATHWAY",26,"Up",0.068690085383145,0.244614560896693
"BIOCARTA_GPCR_PATHWAY",28,"Up",0.0693762490925386,0.244614560896693
"BIOCARTA_TOLL_PATHWAY",24,"Up",0.069447942628614,0.244614560896693
"BIOCARTA_PAR1_PATHWAY",19,"Up",0.0696951288154871,0.244614560896693
"BIOCARTA_PKC_PATHWAY",7,"Up",0.070776820871027,0.244614560896693
"BIOCARTA_CLASSIC_PATHWAY",11,"Up",0.0708605672438833,0.244614560896693
"BIOCARTA_CERAMIDE_PATHWAY",22,"Up",0.0730996198834039,0.248933840684024
"BIOCARTA_NKT_PATHWAY",27,"Up",0.0747444957282411,0.249324430298102
"BIOCARTA_IL6_PATHWAY",22,"Up",0.0751930821533957,0.249324430298102
