"","TargetName","Module","CodeClass","GeneID","SystematicName","Negative","genes_lowCount_overNsamples","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4931406C07Rik","4931406C07Rik","Mm_R_NGS_WTA_v1.0","Endogenous","70984","4931406C07Rik",FALSE,FALSE,-1.9392826327498,7.91711851065894,-14.191207123848,9.36593703795637e-13,1.86972201088723e-08,18.0523798072645
"Cyp4f14","Cyp4f14","Mm_R_NGS_WTA_v1.0","Endogenous","64385","Cyp4f14",FALSE,FALSE,2.22554743467527,8.05376482596644,13.8294110944573,5.48049276823928e-12,5.47035385661804e-08,16.4488218819208
"Bmp1","Bmp1","Mm_R_NGS_WTA_v1.0","Endogenous","12153","Bmp1",FALSE,FALSE,1.40071846316512,5.37411151422667,11.2614963120989,9.39770863202171e-11,6.25354858070165e-07,14.3183139885344
"Cndp2","Cndp2","Mm_R_NGS_WTA_v1.0","Endogenous","66054","Cndp2",FALSE,FALSE,1.39563899743393,7.370947299535,9.6819871741759,1.63418147409422e-09,7.06528065930935e-06,11.6840450837836
"Fads3","Fads3","Mm_R_NGS_WTA_v1.0","Endogenous","60527","Fads3",FALSE,FALSE,-1.24128667774013,5.1109616400475,-9.59503583408211,1.92895703593491e-09,7.06528065930935e-06,11.5476913478436
"Slc6a8","Slc6a8","Mm_R_NGS_WTA_v1.0","Endogenous","102857","Slc6a8",FALSE,FALSE,1.36121767733375,7.94777989540307,9.54487726098515,2.12351269628092e-09,7.06528065930935e-06,11.4205501111946
"Slc3a1","Slc3a1","Mm_R_NGS_WTA_v1.0","Endogenous","20532","Slc3a1",FALSE,FALSE,1.50105245336112,7.64123758869942,9.62038815695724,3.04365146209761e-09,8.68005916255066e-06,11.1027882928152
"Tpm2","Tpm2","Mm_R_NGS_WTA_v1.0","Endogenous","22004","Tpm2",FALSE,FALSE,-1.25969289438763,6.22730840859589,-9.12707976909731,4.78641553133434e-09,1.15565552802922e-05,10.739377161897
"Tgfbi","Tgfbi","Mm_R_NGS_WTA_v1.0","Endogenous","21810","Tgfbi",FALSE,FALSE,1.14609323297694,5.43228444136242,9.03182174500847,5.77878398207737e-09,1.15565552802922e-05,10.5905713904367
"Bche","Bche","Mm_R_NGS_WTA_v1.0","Endogenous","12038","Bche",FALSE,FALSE,1.20666576616437,6.45658039960404,9.03093262937194,5.7889872665893e-09,1.15565552802922e-05,10.5706550362606
