"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_DNAFRAGMENT_PATHWAY",10,0.4,0.3,"Down",0.3156,0.425233155080214,1e-04,0.0126
"BIOCARTA_FXR_PATHWAY",7,0.142857142857143,0.714285714285714,"Up",7e-04,0.05355,4e-04,0.0189
"BIOCARTA_ION_PATHWAY",5,0,0.6,"Up",0.0016,0.0651,6e-04,0.0189
"BIOCARTA_RANBP2_PATHWAY",12,0.416666666666667,0,"Down",0.0054,0.1031625,2e-04,0.0189
"BIOCARTA_CELLCYCLE_PATHWAY",23,0.347826086956522,0.217391304347826,"Down",0.0066,0.1031625,6e-04,0.0189
"BIOCARTA_P53_PATHWAY",15,0.4,0.2,"Down",0.0201,0.17761935483871,6e-04,0.0189
"BIOCARTA_STATHMIN_PATHWAY",19,0.263157894736842,0.157894736842105,"Down",0.036,0.196607547169811,5e-04,0.0189
"BIOCARTA_NUCLEARRS_PATHWAY",30,0.0666666666666667,0.266666666666667,"Up",0.0607,0.203072727272727,8e-04,0.0189
"BIOCARTA_PRC2_PATHWAY",10,0.3,0.3,"Down",0.4084,0.514521,7e-04,0.0189
"BIOCARTA_MITOCHONDRIA_PATHWAY",19,0.263157894736842,0.315789473684211,"Up",0.8745,0.926523529411765,8e-04,0.0189
"BIOCARTA_RANMS_PATHWAY",9,0.666666666666667,0,"Down",0.0012,0.05796,0.0012,0.0207
"BIOCARTA_EFP_PATHWAY",13,0.461538461538462,0.153846153846154,"Down",0.0056,0.1031625,0.0011,0.0207
"BIOCARTA_EIF_PATHWAY",8,0.25,0.5,"Up",0.0606,0.203072727272727,0.0012,0.0207
"BIOCARTA_AKAP95_PATHWAY",10,0.3,0.3,"Down",0.2354,0.363853987730061,0.001,0.0207
"BIOCARTA_TSP1_PATHWAY",7,0.285714285714286,0.285714285714286,"Down",0.9245,0.961953658536585,0.0013,0.021
"BIOCARTA_MCM_PATHWAY",13,0.461538461538462,0.230769230769231,"Down",0.0413,0.196607547169811,0.0019,0.0259
"BIOCARTA_FAS_PATHWAY",28,0.25,0.285714285714286,"Up",0.4862,0.600190243902439,0.0018,0.0259
"BIOCARTA_SRCRPTP_PATHWAY",10,0.3,0.3,"Down",0.6033,0.709526511627907,0.0018,0.0259
"BIOCARTA_FOSB_PATHWAY",5,0.2,0.4,"Up",0.1238,0.262905882352941,0.0023,0.027825
"BIOCARTA_RB_PATHWAY",12,0.333333333333333,0.25,"Down",0.2735,0.397044827586207,0.0024,0.027825
"BIOCARTA_P35ALZHEIMERS_PATHWAY",6,0.166666666666667,0.333333333333333,"Up",0.5236,0.637329807692308,0.0026,0.027825
"BIOCARTA_EIF2_PATHWAY",9,0.333333333333333,0.222222222222222,"Down",0.6379,0.733964383561644,0.0027,0.027825
"BIOCARTA_ETS_PATHWAY",17,0.235294117647059,0.235294117647059,"Up",0.7328,0.806344978165939,0.0027,0.027825
"BIOCARTA_BCELLSURVIVAL_PATHWAY",16,0.25,0.25,"Up",0.9756,0.97895,0.0026,0.027825
"BIOCARTA_ACTINY_PATHWAY",10,0.1,0.4,"Up",0.0553,0.203072727272727,0.0029,0.028728
"BIOCARTA_CIRCADIAN_PATHWAY",6,0.333333333333333,0.666666666666667,"Up",0.0716,0.219885365853659,0.0033,0.0303333333333333
"BIOCARTA_PTC1_PATHWAY",11,0.272727272727273,0.272727272727273,"Down",0.2913,0.40775,0.0032,0.0303333333333333
"BIOCARTA_PLCD_PATHWAY",5,0,0.4,"Up",0.0023,0.070875,0.0037,0.03285
"BIOCARTA_MCALPAIN_PATHWAY",19,0.105263157894737,0.210526315789474,"Up",0.0154,0.17761935483871,0.0046,0.03564
"BIOCARTA_ERBB3_PATHWAY",6,0.166666666666667,0.166666666666667,"Up",0.0337,0.196607547169811,0.005,0.03564
"BIOCARTA_ARENRF2_PATHWAY",18,0.333333333333333,0.222222222222222,"Down",0.1089,0.262905882352941,0.0048,0.03564
"BIOCARTA_D4GDI_PATHWAY",12,0.416666666666667,0.25,"Down",0.1332,0.271611290322581,0.0049,0.03564
"BIOCARTA_IGF1MTOR_PATHWAY",18,0.166666666666667,0.333333333333333,"Up",0.1558,0.292902985074627,0.0045,0.03564
"BIOCARTA_CASPASE_PATHWAY",22,0.318181818181818,0.272727272727273,"Down",0.3589,0.469725388601036,0.0045,0.03564
"BIOCARTA_MONOCYTE_PATHWAY",11,0.272727272727273,0.363636363636364,"Up",0.4765,0.594383168316832,0.0048,0.03564
"BIOCARTA_PML_PATHWAY",18,0.0555555555555556,0.388888888888889,"Up",0.0064,0.1031625,0.0055,0.036855
"BIOCARTA_LIS1_PATHWAY",14,0.142857142857143,0.5,"Up",0.0914,0.243556701030928,0.0054,0.036855
"BIOCARTA_ATRBRCA_PATHWAY",19,0.263157894736842,0.157894736842105,"Down",0.6869,0.771930396475771,0.0058,0.036855
"BIOCARTA_REELIN_PATHWAY",7,0.285714285714286,0.142857142857143,"Down",0.6949,0.771930396475771,0.0059,0.036855
"BIOCARTA_TEL_PATHWAY",17,0.117647058823529,0.176470588235294,"Up",0.7305,0.806344978165939,0.0059,0.036855
"BIOCARTA_TCYTOTOXIC_PATHWAY",12,0,0.333333333333333,"Up",3e-04,0.0441,0.0066,0.0402585365853659
"BIOCARTA_WNT_PATHWAY",23,0.0869565217391304,0.347826086956522,"Up",0.1771,0.314201408450704,0.0072,0.0429
"BIOCARTA_FBW7_PATHWAY",8,0.25,0.125,"Down",0.2076,0.341590909090909,0.0082,0.0477627906976744
"BIOCARTA_NFKB_PATHWAY",21,0.142857142857143,0.285714285714286,"Up",0.0338,0.196607547169811,0.0086,0.0489681818181818
"BIOCARTA_BLYMPHOCYTE_PATHWAY",9,0,0.555555555555556,"Up",0.017,0.17761935483871,0.0093,0.049644
"BIOCARTA_G2_PATHWAY",22,0.272727272727273,0.136363636363636,"Down",0.06,0.203072727272727,0.0093,0.049644
"BIOCARTA_UCALPAIN_PATHWAY",12,0.0833333333333333,0.25,"Up",0.0654,0.2058525,0.0097,0.049644
"BIOCARTA_PRION_PATHWAY",10,0.2,0.3,"Down",0.1818,0.3196375,0.0096,0.049644
"BIOCARTA_EPHA4_PATHWAY",9,0.333333333333333,0.111111111111111,"Down",0.648,0.742197272727273,0.0099,0.049644
"BIOCARTA_BTG2_PATHWAY",10,0.3,0.4,"Down",0.9696,0.9773064,0.0098,0.049644
"BIOCARTA_KERATINOCYTE_PATHWAY",46,0.152173913043478,0.41304347826087,"Up",0.0457,0.198341379310345,0.0105,0.0496867924528302
"BIOCARTA_MPR_PATHWAY",18,0.111111111111111,0.333333333333333,"Up",0.622,0.722264516129032,0.0105,0.0496867924528302
"BIOCARTA_PPARG_PATHWAY",7,0.285714285714286,0.428571428571429,"Up",0.6796,0.771381081081081,0.0103,0.0496867924528302
"BIOCARTA_SET_PATHWAY",11,0.363636363636364,0.0909090909090909,"Down",0.0785,0.229876744186047,0.0108,0.0501666666666667
"BIOCARTA_HIVNEF_PATHWAY",54,0.166666666666667,0.333333333333333,"Up",0.1384,0.274410687022901,0.0114,0.051075
"BIOCARTA_TNFR1_PATHWAY",28,0.214285714285714,0.214285714285714,"Up",0.6054,0.709526511627907,0.0114,0.051075
"BIOCARTA_CHEMICAL_PATHWAY",18,0.277777777777778,0.333333333333333,"Down",0.9207,0.961953658536585,0.0117,0.0515052631578947
"BIOCARTA_G1_PATHWAY",26,0.192307692307692,0.269230769230769,"Up",0.979,0.979,0.0121,0.0523551724137931
"BIOCARTA_THELPER_PATHWAY",12,0,0.333333333333333,"Up",4e-04,0.0441,0.0142,0.05943
"BIOCARTA_CXCR4_PATHWAY",19,0.105263157894737,0.368421052631579,"Up",0.0607,0.203072727272727,0.0142,0.05943
"BIOCARTA_SODD_PATHWAY",10,0.2,0.3,"Up",0.228,0.356791304347826,0.0152,0.0615774193548387
"BIOCARTA_CK1_PATHWAY",15,0.133333333333333,0.2,"Up",0.315,0.425233155080214,0.015,0.0615774193548387
