"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"HALLMARK_ESTROGEN_RESPONSE_LATE",191,0.267015706806283,0.141361256544503,"Down",0.0023,0.05625,9e-04,0.00303571428571429
"HALLMARK_G2M_CHECKPOINT",192,0.40625,0.0625,"Down",0.0178,0.126785714285714,7e-04,0.00303571428571429
"HALLMARK_HYPOXIA",197,0.157360406091371,0.248730964467005,"Up",0.0476,0.182884615384615,6e-04,0.00303571428571429
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",108,0.305555555555556,0.138888888888889,"Down",0.0584,0.1945,9e-04,0.00303571428571429
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,0.0714285714285714,0.285714285714286,"Up",0.0834,0.26046875,8e-04,0.00303571428571429
"HALLMARK_MYC_TARGETS_V1",192,0.411458333333333,0.0677083333333333,"Down",0.0911,0.267794117647059,6e-04,0.00303571428571429
"HALLMARK_KRAS_SIGNALING_UP",198,0.131313131313131,0.237373737373737,"Up",0.1029,0.285694444444444,3e-04,0.00303571428571429
"HALLMARK_MTORC1_SIGNALING",195,0.323076923076923,0.169230769230769,"Down",0.1584,0.395875,9e-04,0.00303571428571429
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",193,0.170984455958549,0.248704663212435,"Up",0.2709,0.5417,8e-04,0.00303571428571429
"HALLMARK_XENOBIOTIC_METABOLISM",194,0.22680412371134,0.170103092783505,"Down",0.4396,0.739083333333333,5e-04,0.00303571428571429
"HALLMARK_KRAS_SIGNALING_DN",192,0.109375,0.151041666666667,"Up",0.5235,0.817890625,3e-04,0.00303571428571429
"HALLMARK_IL2_STAT5_SIGNALING",197,0.228426395939086,0.197969543147208,"Down",0.6041,0.915227272727273,3e-04,0.00303571428571429
"HALLMARK_FATTY_ACID_METABOLISM",150,0.273333333333333,0.213333333333333,"Down",0.6862,0.94734375,2e-04,0.00303571428571429
"HALLMARK_UV_RESPONSE_UP",155,0.206451612903226,0.225806451612903,"Down",0.7733,0.94734375,6e-04,0.00303571428571429
"HALLMARK_E2F_TARGETS",197,0.477157360406091,0.0558375634517767,"Down",0.0116,0.107083333333333,0.0012,0.00383333333333333
