"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION",6,0,0.333333333333333,"Up",0.0019,0.108766666666667,1e-04,0.01004
"REACTOME_CREATINE_METABOLISM",10,0.2,0.3,"Up",0.0475,0.266144134078212,1e-04,0.01004
"REACTOME_TRIGLYCERIDE_METABOLISM",24,0.208333333333333,0.458333333333333,"Up",0.0497,0.270916304347826,1e-04,0.01004
"REACTOME_PARACETAMOL_ADME",32,0.28125,0.21875,"Down",0.1656,0.416571929824561,1e-04,0.01004
"REACTOME_PTK6_REGULATES_CELL_CYCLE",6,0.666666666666667,0.333333333333333,"Down",0.5543,0.758129427792916,1e-04,0.01004
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST",7,0.857142857142857,0,"Down",4e-04,0.08785,5e-04,0.01506
"REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING",11,0.181818181818182,0.272727272727273,"Up",8e-04,0.106675,3e-04,0.01506
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",27,0.481481481481481,0.111111111111111,"Down",0.002,0.108766666666667,2e-04,0.01506
"REACTOME_PHOSPHORYLATION_OF_THE_APC_C",20,0.35,0.05,"Down",0.0127,0.192433333333333,3e-04,0.01506
"REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY",7,0.571428571428571,0.285714285714286,"Down",0.0141,0.20141975308642,5e-04,0.01506
"REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG",5,0.4,0.2,"Down",0.0161,0.20141975308642,3e-04,0.01506
"REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES",93,0.397849462365591,0.0752688172043011,"Down",0.019,0.208984782608696,5e-04,0.01506
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",118,0.364406779661017,0.101694915254237,"Down",0.0315,0.222168918918919,4e-04,0.01506
"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS",97,0.278350515463918,0.123711340206186,"Down",0.0616,0.294267619047619,5e-04,0.01506
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",131,0.312977099236641,0.16030534351145,"Down",0.0792,0.321562248995984,4e-04,0.01506
"REACTOME_TRYPTOPHAN_CATABOLISM",11,0.0909090909090909,0.363636363636364,"Up",0.0856,0.327832824427481,2e-04,0.01506
"REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS",6,0.166666666666667,0.166666666666667,"Up",0.092,0.334364620938628,3e-04,0.01506
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",218,0.307339449541284,0.0963302752293578,"Down",0.1019,0.346635254237288,5e-04,0.01506
"REACTOME_TRIGLYCERIDE_BIOSYNTHESIS",13,0.230769230769231,0.538461538461538,"Up",0.1141,0.359268338557994,2e-04,0.01506
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",116,0.267241379310345,0.163793103448276,"Down",0.1789,0.428557040572792,2e-04,0.01506
"REACTOME_DISSOLUTION_OF_FIBRIN_CLOT",13,0.307692307692308,0.384615384615385,"Up",0.1929,0.446132258064516,5e-04,0.01506
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES",33,0.272727272727273,0.212121212121212,"Down",0.2045,0.457613808463252,4e-04,0.01506
"REACTOME_SODIUM_COUPLED_SULPHATE_DI_AND_TRI_CARBOXYLATE_TRANSPORTERS",5,0.4,0.4,"Up",0.2438,0.502307975460123,5e-04,0.01506
"REACTOME_APOPTOTIC_EXECUTION_PHASE",49,0.285714285714286,0.244897959183673,"Down",0.3389,0.592534608695652,5e-04,0.01506
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS",6,0.333333333333333,0.333333333333333,"Up",0.3487,0.597012265758092,4e-04,0.01506
"REACTOME_SIALIC_ACID_METABOLISM",33,0.272727272727273,0.212121212121212,"Down",0.3582,0.602315912897822,4e-04,0.01506
"REACTOME_VLDL_ASSEMBLY",5,0.2,0.6,"Up",0.4588,0.683360534124629,4e-04,0.01506
"REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING",5,0.4,0.2,"Down",0.6589,0.817658096415328,4e-04,0.01506
"REACTOME_SIGNALING_BY_PTK6",48,0.229166666666667,0.1875,"Up",0.7128,0.846865088757396,5e-04,0.01506
"REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL",8,0.25,0.375,"Down",0.987,0.996110710710711,3e-04,0.01506
"REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY",5,0.8,0,"Down",8e-04,0.106675,8e-04,0.0160212765957447
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2",5,0.6,0,"Down",0.0013,0.108766666666667,8e-04,0.0160212765957447
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",14,0.0714285714285714,0.357142857142857,"Up",0.0015,0.108766666666667,7e-04,0.0160212765957447
"REACTOME_AURKA_ACTIVATION_BY_TPX2",69,0.36231884057971,0.072463768115942,"Down",0.0026,0.126695238095238,7e-04,0.0160212765957447
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",24,0.333333333333333,0.0416666666666667,"Down",0.0096,0.180558064516129,8e-04,0.0160212765957447
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",26,0.346153846153846,0.0384615384615385,"Down",0.0119,0.183036923076923,8e-04,0.0160212765957447
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",110,0.372727272727273,0.0727272727272727,"Down",0.0248,0.222168918918919,8e-04,0.0160212765957447
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",21,0.333333333333333,0.0476190476190476,"Down",0.0312,0.222168918918919,8e-04,0.0160212765957447
"REACTOME_MITOTIC_PROMETAPHASE",188,0.324468085106383,0.101063829787234,"Down",0.0343,0.229246666666667,8e-04,0.0160212765957447
"REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY",8,0.375,0.125,"Down",0.077,0.316630327868852,7e-04,0.0160212765957447
"REACTOME_PYROPTOSIS",20,0.25,0.45,"Up",0.1258,0.377247023809524,8e-04,0.0160212765957447
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE",20,0.25,0.05,"Down",0.1479,0.391956315789474,7e-04,0.0160212765957447
"REACTOME_METAL_ION_SLC_TRANSPORTERS",20,0.3,0.2,"Down",0.174,0.423736385542169,8e-04,0.0160212765957447
"REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA",5,0.4,0.2,"Down",0.23,0.483621338912134,6e-04,0.0160212765957447
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",12,0.25,0.416666666666667,"Up",0.2549,0.5121404,7e-04,0.0160212765957447
"REACTOME_PROTEIN_REPAIR",6,0.333333333333333,0.333333333333333,"Up",0.333,0.588524295774648,8e-04,0.0160212765957447
"REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS",13,0.307692307692308,0.384615384615385,"Up",0.797,0.899031235955056,7e-04,0.0160212765957447
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",11,0.181818181818182,0.454545454545455,"Up",0.0907,0.334364620938628,9e-04,0.0174163265306122
"REACTOME_SYNTHESIS_OF_PE",12,0.166666666666667,0.416666666666667,"Up",0.4821,0.70580029154519,9e-04,0.0174163265306122
"REACTOME_PHOSPHORYLATION_OF_EMI1",6,0.666666666666667,0,"Down",0.0102,0.180558064516129,0.001,0.0179962264150943
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES",34,0.382352941176471,0.0294117647058824,"Down",0.0161,0.20141975308642,0.001,0.0179962264150943
"REACTOME_ERBB2_REGULATES_CELL_MOTILITY",13,0.230769230769231,0.307692307692308,"Up",0.022,0.219625,0.001,0.0179962264150943
"REACTOME_RECYCLING_OF_EIF2_GDP",8,0.375,0.25,"Down",0.6844,0.834780363636364,0.001,0.0179962264150943
"REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA",5,0.6,0,"Down",0.0143,0.20141975308642,0.0011,0.0181758620689655
"REACTOME_BIOSYNTHESIS_OF_E_SERIES_18_S_RESOLVINS",5,0.2,0.2,"Up",0.0176,0.202531034482759,0.0011,0.0181758620689655
"REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES",8,0.375,0.125,"Down",0.0724,0.310424786324786,0.0011,0.0181758620689655
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",251,0.227091633466135,0.131474103585657,"Down",0.1742,0.423736385542169,0.0011,0.0181758620689655
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS",58,0.327586206896552,0.172413793103448,"Down",0.4228,0.655001543209877,0.0011,0.0181758620689655
"REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING",12,0.0833333333333333,0.416666666666667,"Up",0.0686,0.306331555555556,0.0012,0.0192433333333333
"REACTOME_SULFIDE_OXIDATION_TO_SULFATE",5,0.4,0.4,"Up",0.4353,0.666921092564492,0.0012,0.0192433333333333
"REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH",9,0.222222222222222,0.555555555555556,"Up",0.0488,0.270916304347826,0.0013,0.0205737704918033
"REACTOME_RND2_GTPASE_CYCLE",43,0.186046511627907,0.27906976744186,"Up",0.1057,0.34892302631579,0.0014,0.0218612903225806
"REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA",6,0.5,0.166666666666667,"Down",0.1188,0.363490853658537,0.0015,0.0223969230769231
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",128,0.28125,0.1171875,"Down",0.3151,0.570957039711191,0.0015,0.0223969230769231
