"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"WP_HISTONE_MODIFICATIONS",5,0.4,0.2,"Down",0.0122,0.147516666666667,1e-04,0.00104375
"WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA",58,0.137931034482759,0.310344827586207,"Up",0.0292,0.203290384615385,1e-04,0.00104375
"WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY",30,0.0666666666666667,0.266666666666667,"Up",0.0344,0.212461111111111,1e-04,0.00104375
"WP_WHITE_FAT_CELL_DIFFERENTIATION",32,0.1875,0.25,"Up",0.0663,0.23139406779661,1e-04,0.00104375
"WP_EICOSANOID_METABOLISM_VIA_LIPOXYGENASES_LOX",26,0.153846153846154,0.230769230769231,"Up",0.1638,0.366237341772152,1e-04,0.00104375
"WP_METAPATHWAY_BIOTRANSFORMATION",138,0.202898550724638,0.159420289855072,"Down",0.1713,0.366237341772152,1e-04,0.00104375
"WP_HYPERTROPHY_MODEL",19,0.263157894736842,0.210526315789474,"Down",0.2294,0.432475543478261,1e-04,0.00104375
"WP_WNT_SIGNALING_PATHWAY_WP403",60,0.166666666666667,0.266666666666667,"Up",0.5167,0.713008536585366,1e-04,0.00104375
"WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY",89,0.370786516853933,0.134831460674157,"Down",0.002,0.06847,2e-04,0.0020875
"WP_MIR_193A_AND_MVP_IN_COLON_CANCER_METASTASIS",6,0.5,0,"Down",0.0108,0.147516666666667,2e-04,0.0020875
"WP_G1_TO_S_CELL_CYCLE_CONTROL",60,0.35,0.133333333333333,"Down",0.0378,0.221506944444444,2e-04,0.0020875
"WP_PEROXIREDOXIN_2_INDUCED_OVARIAN_FAILURE",7,0.428571428571429,0.142857142857143,"Down",0.0456,0.221506944444444,2e-04,0.0020875
"WP_TRYPTOPHAN_METABOLISM",43,0.0930232558139535,0.325581395348837,"Up",0.0445,0.221506944444444,3e-04,0.00298214285714286
"WP_P53_SIGNALING",65,0.323076923076923,0.215384615384615,"Down",0.0454,0.221506944444444,3e-04,0.00298214285714286
"WP_TRIACYLGLYCERIDE_SYNTHESIS",23,0.260869565217391,0.260869565217391,"Down",0.4912,0.689260924369748,4e-04,0.00389666666666667
"WP_EICOSANOID_METABOLISM_VIA_CYCLOOXYGENASES_COX",30,0.2,0.133333333333333,"Up",0.5354,0.720995564516129,6e-04,0.005740625
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCH_RUSSELL_PATHWAYS",50,0.28,0.18,"Down",0.7685,0.908236458333333,7e-04,0.00603055555555556
"WP_TRANSLATION_FACTORS",46,0.239130434782609,0.326086956521739,"Up",0.8072,0.916966326530612,7e-04,0.00603055555555556
"WP_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES",5,0.4,0.2,"Down",0.5417,0.7236444,8e-04,0.0062625
"WP_BIOGENIC_AMINE_SYNTHESIS",15,0.133333333333333,0.2,"Up",0.7619,0.908236458333333,8e-04,0.0062625
"WP_FATTY_ACID_BETA_OXIDATION",33,0.272727272727273,0.242424242424242,"Down",0.8054,0.916966326530612,9e-04,0.00675952380952381
"WP_PURINE_METABOLISM",169,0.183431952662722,0.183431952662722,"Up",0.889,0.936722955974843,0.001,0.00721136363636364
